Length LowerBound LowerBound_sim Matched Algorithm_3 UpperBound
1000 352.5 294 309 460 940
2000 736.5 652 654 1000 1964
3000 1123.5 1017 1035 1596 2996
4000 1474.5 1347 1377 2011 3932
5000 1809 1668 1746 2558 4824
6000 2223 2065 2070 3104 5928
7000 2556 2388 2427 3627 6816
8000 2965.5 2787 2844 4217 7908
9000 3322.5 3123 3123 4682 8860
10000 3681 3477 3519 5263 9816
11000 4033.5 3822 3900 5801 10756
12000 4477.5 4254 4284 6453 11940
13000 4947 4710 4761 7007 13192
14000 5193 4953 5070 7525 13848
15000 5659.5 5409 5472 8106 15092
16000 5968.5 5709 5790 8545 15916
17000 6235.5 5973 6060 8918 16628
18000 6633 6357 6456 9582 17688
19000 7059 6774 6822 10058 18824
20000 7474.5 7179 7269 10611 19932
21000 7884 7584 7665 11393 21024
22000 8331 8022 8061 12076 22216
23000 8578.5 8268 8376 12333 22876
24000 8844 8523 8640 12753 23584
25000 9292.5 8970 8985 13344 24780
26000 9810 9474 9534 14117 26160
27000 10065 9720 9831 14621 26840
28000 10567.5 10221 10287 15201 28180
29000 10711.5 10365 10449 15394 28564
30000 11175 10815 10848 15969 29800
31000 11677.5 11310 11460 16863 31140
32000 12057 11685 11781 17358 32152
33000 12327 11946 12087 17782 32872
34000 12625.5 12243 12330 18108 33668
35000 13201.5 12810 12981 19178 35204
36000 13518 13122 13167 19505 36048
37000 13759.5 13365 13470 19907 36692
38000 14184 13776 13926 20456 37824
39000 14655 14238 14463 21417 39080
40000 14962.5 14547 14643 21564 39900
41000 15273 14853 14961 22003 40728
42000 15783 15354 15489 22962 42088
43000 16101 15660 15717 23204 42936
44000 16371 15930 16068 23657 43656
45000 16915.5 16473 16572 24595 45108
46000 17235 16782 16830 24824 45960
47000 17469 17016 17136 25321 46584
48000 18057 17601 17733 26406 48152
49000 18202.5 17739 17895 26254 48540
50000 18751.5 18285 18330 27114 50004
51000 19119 18642 18810 27723 50984
52000 19291.5 18825 18981 27939 51444
53000 19980 19500 19668 29024 53280
54000 20092.5 19605 19761 29161 53580
55000 20622 20133 20172 29900 54992
56000 20970 20478 20574 30371 55920
57000 21201 20700 20877 30887 56536
58000 21790.5 21291 21447 31622 58108
59000 21949.5 21447 21492 31654 58532
60000 22621.5 22107 22221 32860 60324
61000 22639.5 22125 22275 32818 60372
62000 23298 22773 22950 33943 62128
63000 23523 22998 23190 34145 62728
64000 23937 23409 23631 34833 63832
65000 24255 23718 23919 35304 64680
66000 24709.5 24171 24384 35962 65892
67000 25032 24492 24706 36358 66752
68000 25453.5 24906 25092 36992 67876
69000 25671 25122 25362 37309 68456
70000 26296.5 25746 25878 38334 70124
71000 26449.5 25890 25923 38290 70532
72000 27153 26589 26625 39516 72408
73000 27165 26601 26676 39327 72440
74000 27720 27147 27351 40367 73920
75000 28038 27465 27639 40830 74768
76000 28482 27906 27939 41364 75952
77000 28876.5 28302 28518 42014 77004
78000 29089.5 28506 28557 42175 77572
79000 29710.5 29124 29184 43280 79228
80000 29856 29259 29493 43416 79616
81000 30343.5 29748 29784 43986 80916
82000 30801 30201 30402 44879 82136
83000 30904.5 30306 30390 44779 82412
84000 31569 30960 31143 45999 84184
85000 31822.5 31212 31317 46168 84860
86000 32100 31488 31539 46590 85600
87000 32707.5 32088 32160 47479 87220
88000 32977.5 32355 32430 47915 87940
89000 33246 32613 32706 48302 88656
90000 33825 33192 33297 49140 90200
91000 34153.5 33522 33609 49537 91076
92000 34276.5 33642 33723 49717 91404
93000 34846.5 34203 34359 50745 92924
94000 35322 34677 34734 51417 94192
95000 35545.5 34899 35031 51734 94788
96000 35887.5 35241 35331 52207 95700
97000 36451.5 35796 35862 53034 97204
98000 36817.5 36162 36300 53431 98180
99000 36996 36336 36429 53761 98656

