Length 1/4*UpperBound UpperBound Algorithm_1 Algorithm_2
1000 117.5 470 218 204
2000 245.5 982 439 437
3000 374.5 1498 653 645
4000 491.5 1966 859 854
5000 603 2412 1051 1058
6000 741 2964 1311 1321
7000 852 3408 1526 1514
8000 988.5 3954 1772 1760
9000 1107.5 4430 1966 1978
10000 1227 4908 2184 2175
11000 1344.5 5378 2405 2406
12000 1492.5 5970 2648 2684
13000 1649 6596 2898 2878
14000 1731 6924 3082 3103
15000 1886.5 7546 3337 3340
16000 1989.5 7958 3493 3518
17000 2078.5 8314 3698 3692
18000 2211 8844 3912 3924
19000 2353 9412 4103 4103
20000 2491.5 9966 4371 4381
21000 2628 10512 4628 4632
22000 2777 11108 4873 4891
23000 2859.5 11438 5015 4978
24000 2948 11792 5169 5189
25000 3097.5 12390 5421 5390
26000 3270 13080 5774 5771
27000 3355 13420 5969 5965
28000 3522.5 14090 6223 6250
29000 3570.5 14282 6275 6247
30000 3725 14900 6522 6540
31000 3892.5 15570 6803 6787
32000 4019 16076 7013 7025
33000 4109 16436 7230 7244
34000 4208.5 16834 7371 7355
35000 4400.5 17602 7713 7739
36000 4506 18024 7983 8007
37000 4586.5 18346 8062 8061
38000 4728 18912 8231 8251
39000 4885 19540 8645 8693
40000 4987.5 19950 8787 8787
41000 5091 20364 8921 8921
42000 5261 21044 9286 9256
43000 5367 21468 9391 9366
44000 5457 21828 9562 9559
45000 5638.5 22554 9939 9916
46000 5745 22980 10009 10013
47000 5823 23292 10240 10245
48000 6019 24076 10653 10683
49000 6067.5 24270 10703 10694
50000 6250.5 25002 10932 10898
51000 6373 25492 11126 11147
52000 6430.5 25722 11256 11282
53000 6660 26640 11674 11710
54000 6697.5 26790 11803 11794
55000 6874 27496 12052 11987
56000 6990 27960 12179 12155
57000 7067 28268 12461 12469
58000 7263.5 29054 12708 12734
59000 7316.5 29266 12839 12766
60000 7540.5 30162 13196 13184
61000 7546.5 30186 13295 13289
62000 7766 31064 13589 13619
63000 7841 31364 13787 13751
64000 7979 31916 14004 13978
65000 8085 32340 14188 14235
66000 8236.5 32946 14445 14462
67000 8344 33376 14674 14636
68000 8484.5 33938 14846 14824
69000 8557 34228 15012 15038
70000 8765.5 35062 15307 15315
71000 8816.5 35266 15423 15458
72000 9051 36204 15919 15938
73000 9055 36220 15847 15858
74000 9240 36960 16176 16190
75000 9346 37384 16459 16446
76000 9494 37976 16554 16548
77000 9625.5 38502 16860 16870
78000 9696.5 38786 16905 16844
79000 9903.5 39614 17392 17396
80000 9952 39808 17537 17491
81000 10114.5 40458 17710 17694
82000 10267 41068 17931 17936
83000 10301.5 41206 18050 17985
84000 10523 42092 18421 18381
85000 10607.5 42430 18541 18512
86000 10700 42800 18663 18660
87000 10902.5 43610 19136 19104
88000 10992.5 43970 19293 19318
89000 11082 44328 19398 19391
90000 11275 45100 19680 19765
91000 11384.5 45538 19860 19864
92000 11425.5 45702 19986 20009
93000 11615.5 46462 20282 20311
94000 11774 47096 20625 20619
95000 11848.5 47394 20749 20812
96000 11962.5 47850 20909 20932
97000 12150.5 48602 21303 21310
98000 12272.5 49090 21375 21431
99000 12332 49328 21490 21537
