Length 3/8*UpperBound UpperBound Algorithm_3
1000 352.5 940 460
2000 736.5 1964 1000
3000 1123.5 2996 1596
4000 1474.5 3932 2011
5000 1809 4824 2558
6000 2223 5928 3104
7000 2556 6816 3627
8000 2965.5 7908 4217
9000 3322.5 8860 4682
10000 3681 9816 5263
11000 4033.5 10756 5801
12000 4477.5 11940 6453
13000 4947 13192 7007
14000 5193 13848 7525
15000 5659.5 15092 8106
16000 5968.5 15916 8545
17000 6235.5 16628 8918
18000 6633 17688 9582
19000 7059 18824 10058
20000 7474.5 19932 10611
21000 7884 21024 11393
22000 8331 22216 12076
23000 8578.5 22876 12333
24000 8844 23584 12753
25000 9292.5 24780 13344
26000 9810 26160 14117
27000 10065 26840 14621
28000 10567.5 28180 15201
29000 10711.5 28564 15394
30000 11175 29800 15969
31000 11677.5 31140 16863
32000 12057 32152 17358
33000 12327 32872 17782
34000 12625.5 33668 18108
35000 13201.5 35204 19178
36000 13518 36048 19505
37000 13759.5 36692 19907
38000 14184 37824 20456
39000 14655 39080 21417
40000 14962.5 39900 21564
41000 15273 40728 22003
42000 15783 42088 22962
43000 16101 42936 23204
44000 16371 43656 23657
45000 16915.5 45108 24595
46000 17235 45960 24824
47000 17469 46584 25321
48000 18057 48152 26406
49000 18202.5 48540 26254
50000 18751.5 50004 27114
51000 19119 50984 27723
52000 19291.5 51444 27939
53000 19980 53280 29024
54000 20092.5 53580 29161
55000 20622 54992 29900
56000 20970 55920 30371
57000 21201 56536 30887
58000 21790.5 58108 31622
59000 21949.5 58532 31654
60000 22621.5 60324 32860
61000 22639.5 60372 32818
62000 23298 62128 33943
63000 23523 62728 34145
64000 23937 63832 34833
65000 24255 64680 35304
66000 24709.5 65892 35962
67000 25032 66752 36358
68000 25453.5 67876 36992
69000 25671 68456 37309
70000 26296.5 70124 38334
71000 26449.5 70532 38290
72000 27153 72408 39516
73000 27165 72440 39327
74000 27720 73920 40367
75000 28038 74768 40830
76000 28482 75952 41364
77000 28876.5 77004 42014
78000 29089.5 77572 42175
79000 29710.5 79228 43280
80000 29856 79616 43416
81000 30343.5 80916 43986
82000 30801 82136 44879
83000 30904.5 82412 44779
84000 31569 84184 45999
85000 31822.5 84860 46168
86000 32100 85600 46590
87000 32707.5 87220 47479
88000 32977.5 87940 47915
89000 33246 88656 48302
90000 33825 90200 49140
91000 34153.5 91076 49537
92000 34276.5 91404 49717
93000 34846.5 92924 50745
94000 35322 94192 51417
95000 35545.5 94788 51734
96000 35887.5 95700 52207
97000 36451.5 97204 53034
98000 36817.5 98180 53431
99000 36996 98656 53761
