Length Algorithm1 Algorithm2 Algorithm3 length2 Algorithm1_10% Algorithm2_10% Algorithm3_10%
1000 225 215 485 1000 29 29 62
2000 425 432 1017 2000 62 60 142
3000 652 657 1504 3000 84 83 204
4000 890 893 2141 4000 119 115 274
5000 1104 1099 2631 5000 154 146 363
6000 1314 1297 3183 6000 179 176 422
7000 1553 1543 3754 7000 217 217 510
8000 1733 1736 4172 8000 251 249 621
9000 2016 1991 4867 9000 266 265 660
10000 2190 2191 5336 10000 337 332 793
11000 2377 2377 5853 11000 323 318 829
12000 2580 2581 6325 12000 367 366 916
13000 2801 2793 6801 13000 420 422 1050
14000 3058 3028 7446 14000 417 414 1046
15000 3256 3279 7994 15000 493 478 1236
16000 3455 3474 8452 16000 496 492 1255
17000 3731 3749 9228 17000 485 485 1251
18000 3978 3990 9715 18000 548 543 1414
19000 4231 4221 10285 19000 561 555 1408
20000 4361 4353 10808 20000 573 567 1468
21000 4570 4567 11240 21000 633 633 1640
22000 4762 4718 11564 22000 652 649 1734
23000 5058 5045 12350 23000 670 671 1744
24000 5334 5341 13034 24000 727 725 1884
25000 5566 5539 13672 25000 738 740 1933
26000 5569 5563 13806 26000 781 784 2023
27000 5926 5938 14557 27000 847 847 2190
28000 6031 5997 14915 28000 807 811 2160
29000 6405 6447 15807 29000 832 831 2155
30000 6552 6533 16311 30000 902 898 2402
31000 6770 6803 16631 31000 927 916 2405
32000 6953 6941 17100 32000 949 948 2477
33000 7212 7228 17954 33000 994 990 2610
34000 7500 7472 18515 34000 1017 1012 2661
35000 7655 7638 18847 35000 1046 1029 2751
36000 7782 7803 19516 36000 1064 1065 2858
37000 8187 8160 20196 37000 1084 1079 2860
38000 8337 8342 20607 38000 1124 1105 2996
39000 8485 8499 20895 39000 1177 1174 3143
40000 8754 8762 21727 40000 1212 1208 3142
41000 8955 8945 22226 41000 1224 1219 3240
42000 9137 9155 22598 42000 1269 1255 3388
43000 9389 9425 23291 43000 1296 1296 3444
44000 9651 9635 23960 44000 1294 1294 3417
45000 9769 9782 24208 45000 1367 1360 3545
46000 10102 10109 24869 46000 1373 1369 3648
47000 10233 10255 25597 47000 1392 1389 3627
48000 10375 10433 25692 48000 1444 1445 3818
49000 10764 10767 26819 49000 1517 1513 3948
50000 10967 10941 27119 50000 1540 1544 4122
51000 11112 11115 27499 51000 1502 1502 3982
52000 11475 11506 28389 52000 1548 1550 4129
53000 11504 11527 28499 53000 1602 1602 4257
54000 11824 11838 29414 54000 1601 1598 4310
55000 12056 12020 29853 55000 1682 1683 4399
56000 12245 12293 30316 56000 1694 1690 4471
57000 12489 12496 31060 57000 1704 1695 4487
58000 12684 12668 31247 58000 1771 1772 4668
59000 13064 13007 32348 59000 1767 1734 4674
60000 13030 13054 32426 60000 1821 1805 4846
61000 13398 13415 33527 61000 1819 1807 4853
62000 13519 13572 33456 62000 1852 1852 4968
63000 13742 13732 34247 63000 1891 1887 5014
64000 13991 13980 34749 64000 1957 1949 5172
65000 14217 14245 35348 65000 1897 1906 5061
66000 14439 14382 35796 66000 1986 1982 5275
67000 14673 14636 36457 67000 2021 2023 5392
68000 14907 14900 36907 68000 2031 2034 5431
69000 15087 15165 37749 69000 2017 2012 5450
70000 15253 15199 37761 70000 2120 2113 5653
71000 15562 15588 38723 71000 2101 2098 5628
72000 15639 15604 38809 72000 2200 2191 5857
73000 16055 16040 39862 73000 2193 2187 5833
74000 16199 16172 40194 74000 2256 2250 6028
75000 16369 16377 40885 75000 2243 2236 5981
76000 16679 16661 41286 76000 2269 2264 6094
77000 16782 16873 41809 77000 2317 2321 6218
78000 17233 17168 42737 78000 2308 2312 6126
79000 17179 17126 42659 79000 2353 2348 6281
80000 17461 17496 43670 80000 2343 2323 6271
81000 17756 17742 44115 81000 2399 2403 6455
82000 17890 17908 44569 82000 2432 2420 6556
83000 18284 18225 45317 83000 2482 2481 6588
84000 18357 18300 45429 84000 2577 2575 6822
85000 18612 18598 46372 85000 2520 2515 6781
86000 18949 18983 47036 86000 2616 2612 6991
87000 18944 18958 47190 87000 2598 2592 6978
88000 19203 19176 47794 88000 2674 2663 7119
89000 19479 19484 48686 89000 2621 2612 7112
90000 19669 19675 48969 90000 2756 2752 7371
91000 19895 19867 49554 91000 2698 2688 7252
92000 20242 20225 50362 92000 2717 2708 7279
93000 20406 20362 50593 93000 2798 2793 7514
94000 20455 20466 50978 94000 2850 2843 7648
95000 20770 20809 51822 95000 2851 2848 7636
96000 21050 20988 52384 96000 2831 2820 7583
97000 21168 21180 52634 97000 2948 2943 7914
98000 21375 21400 53199 98000 2976 2960 7974
99000 21798 21727 54176 99000 2964 2956 7945
