Length LowerBound Matched Score UpperBound
10021 30 32 84
110 24 30 43 108
121 24 27 48 116
133 24 30 48 112
146 30 33 59 136
160 42 45 78 164
176 45 48 67 176
193 39 45 65 160
212 52 52 82 204
233 52 53 81 204
256 78 81 113 272
281 78 93 138 268
309 83 90 136 296
339 87 102 145 320
372 105 111 173 372
409 117 135 201 408
449 116 117 191 412
493 138 150 246 488
542 138 147 232 488
596 168 177 277 568
655 198 204 310 656
720 219 231 361 708
792 249 255 387 816
871 264 279 439 852
958 297 312 464 948
1053 336 346 515 1056
1158 347 372 553 1092
1273 390 423 633 1220
1400 456 480 726 1408
1540 486 489 744 1484
1694 561 570 880 1712
1863 639 654 988 1924
2049 687 699 1048 2080
2253 738 762 1145 2216
2478 822 843 1315 2444
2725 897 903 1346 2680
2997 996 1005 1539 2940
3296 1113 1140 1702 3268
3625 1239 1287 1929 3624
3987 1362 1416 2146 3972
4385 1503 1530 2279 4360
4823 1668 1692 2581 4824
5305 1872 1953 2857 5372
5835 2061 2112 3144 5900
6418 2205 2256 3313 6316
7059 2427 2463 3653 6916
7764 2673 2745 4041 7604
8540 2958 3009 4482 8388
9394 3294 3327 4960 9316
10333 3623 3660 5402 10212
11366 3981 4017 5915 11188
12502 4428 4458 6616 12416
13752 4905 4971 7494 13720
15127 5370 5448 8166 14992
16639 5967 6021 9013 16612
18302 6585 6672 9835 18320
20132 7155 7260 10695 19872
22145 7905 7998 11828 21904
24359 8736 8787 12954 24160
26794 9744 9885 14608 26900
29473 10755 10827 16123 29636
32420 11691 11733 17333 32164
35662 12843 12915 19075 35292
39228 14387 14544 21432 39460
43150 15753 15855 23470 43160
47465 17097 17301 25545 46796
52211 19122 19290 28549 52272
57432 20961 21060 31139 57228
63175 23127 23247 34334 63080
69492 25410 25464 37705 69228
76441 28098 28311 41713 76484
84085 30747 30816 45359 83616
92493 34143 34215 50551 92740
101742 
