iter,length,simple,block

10,500,0,5 
10,1000,0,7 
10,1500,1,14 
10,2000,1,17 
10,2500,1,20 
10,3000,1,23 
10,3500,2,24 
10,4000,2,27 
10,4500,2,33 
10,5000,3,37 
10,5500,3,39 
10,6000,4,40 
10,6500,3,52 
10,7000,3,50 
10,7500,4,59 
10,8000,4,55 
10,8500,4,64 
10,9000,4,65 
10,9500,5,66 
10,10000,5,68 
10,10500,5,69 
10,11000,6,68 
10,11500,5,74 
10,12000,6,77 
10,12500,6,78 
10,13000,6,78 
10,13500,6,87 
10,14000,8,90 
10,14500,7,96 
10,15000,8,88 
10,15500,7,101 
10,16000,7,95 
10,16500,8,115 
10,17000,8,105 
10,17500,8,99 
10,18000,10,108 
10,18500,10,107 
10,19000,14,123 
10,19500,9,129 
10,20000,10,129 
10,20500,9,128 
10,21000,10,127 
10,21500,10,143 
10,22000,10,138 
10,22500,10,135 
10,23000,11,150 
10,23500,11,147 
10,24000,12,147 
10,24500,12,157 
10,25000,12,158 
10,25500,12,153 
10,26000,14,163 
10,26500,13,156 
10,27000,14,173 
10,27500,15,186 
10,28000,12,183 
10,28500,14,183 
10,29000,14,189 
10,29500,16,184 
10,30000,14,189 
10,30500,14,205 
10,31000,14,198 
10,31500,15,213 
10,32000,14,208 
10,32500,18,223 
10,33000,16,223 
10,33500,16,221 
10,34000,17,222 
10,34500,17,244 
10,35000,16,226 
10,35500,17,245 
10,36000,17,233 
10,36500,18,255 
10,37000,18,249 
10,37500,17,236 
10,38000,19,258 
10,38500,18,252 
10,39000,18,264 
10,39500,18,257 
10,40000,19,274 
10,40500,21,274 
10,41000,19,265 
10,41500,20,301 
10,42000,20,282 
10,42500,20,287 
10,43000,20,312 
10,43500,21,296 
10,44000,41,284 
10,44500,22,308 
10,45000,21,307 
10,45500,22,315 
10,46000,22,321 
10,46500,21,308 
10,47000,20,313 
10,47500,24,316 
10,48000,22,317 
10,48500,25,332 
10,49000,23,332 
10,49500,24,337 
10,50000,24,344 
10,50500,23,338 
10,51000,24,341 
10,51500,27,345 
10,52000,25,351 
10,52500,23,362 
10,53000,24,361 
10,53500,25,362 
10,54000,26,366 
10,54500,27,369 
10,55000,26,368 
10,55500,26,372 
10,56000,27,370 
10,56500,29,375 
10,57000,28,396 
10,57500,26,381 
10,58000,28,390 
10,58500,27,406 
10,59000,27,406 
10,59500,28,408 
10,60000,27,417 
10,60500,28,399 
10,61000,31,403 
10,61500,30,425 
10,62000,27,441 
10,62500,28,432 
10,63000,29,452 
10,63500,30,449 
10,64000,32,462 
10,64500,30,465 
10,65000,29,478 
10,65500,32,484 
10,66000,33,497 
10,66500,30,472 
10,67000,32,517 
10,67500,29,512 
10,68000,34,508 
10,68500,31,510 
10,69000,32,512 
10,69500,35,503 
10,70000,32,520 
10,70500,35,518 
10,71000,35,512 
10,71500,32,527 
10,72000,32,529 
10,72500,34,535 
10,73000,44,525 
10,73500,37,540 
10,74000,35,560 
10,74500,34,552 
10,75000,35,556 
10,75500,36,555 
10,76000,33,563 
10,76500,33,570 
10,77000,39,577 
10,77500,40,576 
10,78000,40,590 
10,78500,38,585 
10,79000,40,586 
10,79500,43,604 
10,80000,42,598 
10,80500,36,598 
10,81000,36,600 
10,81500,39,605 
10,82000,37,634 
10,82500,40,617 
10,83000,40,621 
10,83500,39,616 
10,84000,38,621 
10,84500,44,629 
10,85000,38,635 
10,85500,40,636 
10,86000,39,651 
10,86500,37,654 
10,87000,39,651 
10,87500,42,661 
10,88000,39,659 
10,88500,39,664 
10,89000,40,698 
10,89500,41,670 
10,90000,41,680 
10,90500,42,690 
10,91000,42,678 
10,91500,41,675 
10,92000,44,698 
10,92500,40,713 
10,93000,41,716 
10,93500,45,707 
10,94000,42,772 
10,94500,44,745 
10,95000,44,731 
10,95500,48,734 
10,96000,43,744 
10,96500,43,744 
10,97000,40,762 
10,97500,44,751 
10,98000,43,764 
10,98500,44,759 
10,99000,48,764 
10,99500,47,770 
10,100000,48,779 
