Length Algorithm1 Algorithm2 Algorithm3
1000 225 215 493
2000 425 432 979
3000 652 657 1470
4000 890 893 2096
5000 1104 1099 2546
6000 1314 1297 3108
7000 1553 1543 3621
8000 1733 1736 4103
9000 2016 1991 4739
10000 2190 2191 5202
11000 2377 2377 5676
12000 2580 2581 6106
13000 2801 2793 6627
14000 3058 3028 7199
15000 3256 3279 7775
16000 3455 3474 8161
17000 3731 3749 9005
18000 3978 3990 9462
19000 4231 4221 10038
20000 4361 4353 10443
21000 4570 4567 10957
22000 4762 4718 11237
23000 5058 5045 11967
24000 5334 5341 12671
25000 5566 5539 13231
26000 5569 5563 13396
27000 5926 5938 14085
28000 6031 5997 14429
29000 6405 6447 15275
30000 6552 6533 15691
31000 6770 6803 16101
32000 6953 6941 16517
33000 7212 7228 17407
34000 7500 7472 17992
35000 7655 7638 18157
36000 7782 7803 18889
37000 8187 8160 19555
38000 8337 8342 19943
39000 8485 8499 20278
40000 8754 8762 21102
41000 8955 8945 21598
42000 9137 9155 21877
43000 9389 9425 22581
44000 9651 9635 23133
45000 9769 9782 23389
46000 10102 10109 24021
47000 10233 10255 24690
48000 10375 10433 24814
49000 10764 10767 25872
50000 10967 10941 26194
51000 11112 11115 26558
52000 11475 11506 27490
53000 11504 11527 27503
54000 11824 11838 28467
55000 12056 12020 28768
56000 12245 12293 29271
57000 12489 12496 30043
58000 12684 12668 30152
59000 13064 13007 31217
60000 13030 13054 31102
61000 13398 13415 32297
62000 13519 13572 32246
63000 13742 13732 33096
64000 13991 13980 33532
65000 14217 14245 34149
66000 14439 14382 34671
67000 14673 14636 35301
68000 14907 14900 35700
69000 15087 15165 36490
70000 15253 15199 36512
71000 15562 15588 37590
72000 15639 15604 37542
73000 16055 16040 38604
74000 16199 16172 38885
75000 16369 16377 39464
76000 16679 16661 39863
77000 16782 16873 40354
78000 17233 17168 41300
79000 17179 17126 41211
80000 17461 17496 42193
81000 17756 17742 42743
82000 17890 17908 43015
83000 18284 18225 43836
84000 18357 18300 44040
85000 18612 18598 44804
86000 18949 18983 45504
87000 18944 18958 45668
88000 19203 19176 46252
89000 19479 19484 46943
90000 19669 19675 47254
91000 19895 19867 47933
92000 20242 20225 48704
93000 20406 20362 48858
94000 20455 20466 49198
95000 20770 20809 50159
96000 21050 20988 50632
97000 21168 21180 50912
98000 21375 21400 51412
99000 21798 21727 52285
