length sim b2d b3d b4d
1000 0.1 0.8 1.3 1.3
2000 0.1 1.4 2.5 2.5
3000 0.2 2.1 3.6 3.6
4000 0.2 2.7 5.2 5.2
5000 0.2 3.3 6.4 6.4
6000 0.3 3.8 7.4 7.4
7000 0.4 4.1 7.6 7.6
8000 0.4 4.9 8.7 8.7
9000 0.5 5.8 10.1 10.1
10000 0.5 6.8 10.5 10.5
11000 0.5 6.6 11 11
12000 0.5 7.1 12.5 12.5
13000 0.7 7.8 14.1 14.1
14000 0.7 8.4 13.3 13.3
15000 0.6 8.7 13.2 13.2
16000 0.8 9 15.3 15.3
17000 0.7 9.2 16.4 16.4
18000 0.7 10 16.8 16.8
19000 0.8 11.2 18.4 18.4
20000 0.9 10.7 19.1 19.1
21000 0.9 12.7 20.2 20.2
22000 0.9 12.3 21.2 21.2
23000 1 12.7 21.5 21.5
24000 1.3 13.5 23 23
25000 1 14.7 23.3 23.3
26000 1.2 14.3 24 24
27000 1.1 15.3 26 26
28000 1.2 16.2 27.6 27.6
29000 1.4 16.7 29.5 29.5
30000 1.3 17.5 28.4 28.4
31000 1.4 18.2 30.1 30.1
32000 1.5 18.4 30.4 30.4
33000 1.4 20.8 33.3 33.3
34000 1.5 21.2 34.7 34.7
35000 1.6 21.7 34.3 34.3
36000 2.1 22.4 35.3 35.3
37000 1.8 23.2 36.4 36.4
38000 1.8 23.9 37.5 37.5
39000 2 24 39.6 39.6
40000 1.8 24.3 39.7 39.7
41000 1.8 26.1 41.1 41.1
42000 1.8 27.1 43.1 43.1
43000 1.8 26.5 43.6 43.6
44000 2.2 28 44.4 44.4
45000 2.1 29.4 45.2 45.2
46000 2 28.5 47.2 47.2
47000 2.1 29.9 49.5 49.5
48000 2.2 30.2 49.4 49.4
49000 2.2 31 50.7 50.7
50000 2.3 31.8 51.3 51.3
51000 2.3 32.6 51.6 51.6
52000 2.2 34.5 54.5 54.5
53000 2.3 32.7 56.1 56.1
54000 2.3 33.5 55.4 55.4
55000 2.4 35.9 55.8 55.8
56000 2.5 36.2 58.3 58.3
57000 2.3 37.7 58.7 58.7
58000 2.5 37.4 59.9 59.9
59000 2.5 39 62.5 62.5
60000 2.6 38.5 62.6 62.6
61000 2.7 40.4 64.3 64.3
62000 2.7 41.6 65.7 65.7
63000 2.8 43 67 67
64000 2.7 43.5 68.7 68.7
65000 2.9 44.2 70.7 70.7
66000 2.9 46.6 75.5 75.5
67000 2.9 46.3 73.6 73.6
68000 3.5 50.9 82.3 82.3
69000 3.4 51.9 79.5 79.5
70000 3.3 49 85.7 85.7
71000 3.1 52.4 85.6 85.6
72000 3.3 54 81.9 81.9
73000 3.4 56.6 87.1 87.1
74000 3.4 51.3 82.4 82.4
75000 3.6 52.7 87.1 87.1
76000 3.2 54.1 84.8 84.8
77000 3.7 54.1 84.5 84.5
78000 3.8 54.8 90 90
79000 3.4 56.2 88.7 88.7
80000 3.5 56.7 99.9 99.9
81000 4.2 57.7 89.9 89.9
82000 3.5 60.5 91.3 91.3
83000 3.6 59.9 93.7 93.7
84000 4.1 59 94 94
85000 3.7 61 103.9 103.9
86000 4 61.3 95.4 95.4
87000 4 63.2 95.8 95.8
88000 3.8 62.9 98.3 98.3
89000 4 64.1 99.1 99.1
90000 4.2 64.9 101.2 101.2
91000 3.8 65.6 102.6 102.6
92000 4.3 66.8 103.6 103.6
93000 4 68.4 105.5 105.5
94000 4 69.6 106.9 106.9
95000 4.4 70.3 112.2 112.2
96000 4.1 70.2 114.4 114.4
97000 4.3 71.9 111.2 111.2
98000 4.1 72.2 113 113
99000 4.2 73.3 117.4 117.4
