Length Algorithm1 Algorithm2 Algorithm3
1000 0.04 0.78 1.32
2000 0.1 1.36 2.46
3000 0.14 1.78 3.5
4000 0.2 2.32 4.76
5000 0.2 2.56 6.06
6000 0.28 3.28 6.46
7000 0.36 3.7 6.48
8000 0.34 4.22 7.32
9000 0.46 4.86 8.26
10000 0.4 5.26 9.28
11000 0.48 5.6 9.98
12000 0.54 6.18 10.92
13000 0.52 6.84 11.58
14000 0.64 7.46 12.96
15000 0.62 7.88 13.82
16000 0.66 8.34 14.68
17000 0.74 9.16 15.92
18000 0.78 9.6 16.74
19000 0.8 10.06 18
20000 0.84 10.68 18.82
21000 0.92 11.08 19.42
22000 0.96 11.62 20.2
23000 1.08 12.02 21.3
24000 0.98 12.96 23
25000 1.08 13.46 24.04
26000 1.2 13.76 24.54
27000 1.14 14.82 25.8
28000 1.3 15.04 27.44
29000 1.22 16.14 28.58
30000 1.38 17 29.06
31000 1.28 18.06 29.76
32000 1.36 17.66 29.86
33000 1.52 19.42 32.98
34000 1.56 20.56 33.96
35000 1.66 20.7 34.24
36000 1.54 21.5 35.36
37000 1.68 22.14 37.44
38000 1.66 22.76 38.18
39000 1.62 23.54 38.82
40000 1.66 23.72 39.88
41000 1.74 25.4 41.84
42000 1.78 25.76 42.48
43000 1.92 26.3 45.68
44000 2 27.06 44.5
45000 1.98 27.68 45.54
46000 1.9 28.52 47.38
47000 2.08 29.64 48.26
48000 2.06 29.74 48.18
49000 2.12 30.72 50.32
50000 2.06 31.58 52.28
51000 2.1 31.94 51.68
52000 2.32 33.44 53.82
53000 2.32 32.9 55.44
54000 2.42 34.62 56.18
55000 2.4 35.54 58.26
56000 2.38 35.46 57.56
57000 2.52 36.78 58.4
58000 2.52 36.06 59.06
59000 2.58 38.06 62.24
60000 2.5 37.46 61.64
61000 2.56 39.38 63.98
62000 2.62 40.22 65.28
63000 2.8 42.08 66.4
64000 2.68 42.26 68.2
65000 2.7 43.98 69.48
66000 2.88 45.92 75.34
67000 2.76 46.54 73.76
68000 2.92 47.36 75.2
69000 2.98 47.86 76.64
70000 3.04 48.68 80.06
71000 3.02 49.62 78.68
72000 3.08 49.9 79.12
73000 3.16 51.56 81.66
74000 3.26 51.66 81.82
75000 3.16 56.1 86.72
76000 3.28 53.88 84.66
77000 3.3 54.08 87.32
78000 3.26 54.84 89.36
79000 3.38 55.18 88.96
80000 3.4 56.68 92.06
81000 3.46 57.34 89.9
82000 3.46 58.7 92.06
83000 3.64 58.94 92.6
84000 3.7 59.2 92.96
85000 3.64 59.78 96.04
86000 3.7 60.86 95.84
87000 3.64 61.72 97.42
88000 3.62 62.56 98.22
89000 3.76 63.1 99.22
90000 3.8 63.82 100.28
91000 3.86 64.82 101.84
92000 3.98 65.16 103.4
93000 4.04 67.56 106.28
94000 3.96 68.5 106.36
95000 4.14 69.78 112.6
96000 4.12 70.08 113.46
97000 4.1 70.74 110.9
98000 4.14 71.72 111.9
99000 4.32 72.7 116.88
