Length Algorithm1 Algorithm2 Algorithm3
1000 0.06 0.92 1.6
2000 0.12 1.74 2.76
3000 0.18 2.54 4.24
4000 0.24 3.22 5.34
5000 0.28 3.64 6.44
6000 0.34 4.44 7.82
7000 0.4 5.18 9.16
8000 0.48 5.84 11.04
9000 0.52 6.62 11.7
10000 0.58 7.24 12.96
11000 0.64 7.86 14.06
12000 0.7 8.56 15.32
13000 0.76 9.94 17.26
14000 0.82 10.26 18.34
15000 0.88 10.92 19.08
16000 0.94 11.68 20.84
17000 1 12.7 21.78
18000 1.04 13.06 23.68
19000 1.1 14.4 25.44
20000 1.18 14.44 27.02
21000 1.24 15.84 28.1
22000 1.28 16.34 28.86
23000 1.36 16.94 29.74
24000 1.4 17.58 31.14
25000 1.48 18.52 32.7
26000 1.52 19.2 34.72
27000 1.58 20.92 36.88
28000 1.64 22.38 37.54
29000 1.68 21.98 38.3
30000 1.76 22.54 39.42
31000 1.84 24.5 41.94
32000 1.9 24.58 42.72
33000 1.94 27.12 46.42
34000 1.98 27.6 46.4
35000 2.06 29.2 49.6
36000 2.1 29.48 49.76
37000 2.18 31.06 51.18
38000 2.22 30.76 51.82
39000 2.32 32.3 54.52
40000 2.36 32.9 54.92
41000 2.4 35.34 56.14
42000 2.48 34.86 58.98
43000 2.54 36.18 60.46
44000 2.58 36.38 61.04
45000 2.64 38.2 63.56
46000 2.72 38.46 64.52
47000 2.76 39.1 65.9
48000 2.82 40.8 67.64
49000 2.88 40.9 69.62
50000 2.94 42.12 69.72
51000 3 43.56 71.72
52000 3.04 44 72.36
53000 3.12 45.14 75.18
54000 3.16 45.24 75.56
55000 3.22 47.62 77.42
56000 3.28 47.82 78.98
57000 3.34 49.8 82.6
58000 3.42 50.66 82.82
59000 3.44 49.82 82.4
60000 3.56 52.4 85.5
61000 3.58 52.08 85.8
62000 3.64 56.28 90.58
63000 3.78 56.98 92.34
64000 3.74 58.16 92.32
65000 3.84 59.24 97.02
66000 3.96 63.76 100.42
67000 3.94 63.04 100.66
68000 3.98 63.72 101.8
69000 4.06 64.52 103.58
70000 4.1 65.88 105.4
71000 4.16 66.46 106.22
72000 4.24 68.18 108.76
73000 4.26 68.48 108.94
74000 4.36 69.34 112.22
75000 4.4 70.72 114.66
76000 4.44 71.74 114.46
77000 4.5 72.94 115.66
78000 4.58 73.6 117.62
79000 4.64 75.28 119.96
80000 4.68 75.86 120.8
81000 4.78 77.18 122.6
82000 4.84 78.44 124.48
83000 4.84 78.78 124.7
84000 4.92 80.54 127.62
85000 4.98 80.88 128.54
86000 5.04 81.84 129.8
87000 5.1 83.48 131.9
88000 5.14 84.26 133.34
89000 5.2 85.04 134.56
90000 5.3 86.74 137.02
91000 5.32 87.3 137.96
92000 5.4 87.86 139.02
93000 5.48 90.22 144.58
94000 5.5 92.9 145.3
95000 5.58 93.36 151.36
96000 5.6 94.44 153.22
97000 5.7 96.22 149.72
98000 5.76 98.42 152.46
99000 5.8 97.76 152.58
