Length Algorithm1 Algorithm2 Algorithm3
1000 0.02 0.22 0.4
2000 0.06 0.44 0.84
3000 0.1 0.6 1.14
4000 0.1 0.78 1.44
5000 0.14 0.94 1.88
6000 0.18 1.06 2.08
7000 0.2 1.4 2.46
8000 0.22 1.44 2.86
9000 0.24 1.58 3.1
10000 0.28 1.84 3.56
11000 0.32 1.92 3.78
12000 0.32 2.06 4.12
13000 0.36 2.3 4.48
14000 0.36 2.38 4.7
15000 0.4 2.68 5.18
16000 0.42 2.82 5.52
17000 0.46 2.8 5.44
18000 0.48 3.04 6.04
19000 0.5 3.12 6.08
20000 0.52 3.22 6.52
21000 0.56 3.6 7.04
22000 0.58 3.86 7.48
23000 0.6 3.82 7.54
24000 0.7 4.02 7.92
25000 0.66 4.16 8.14
26000 0.7 4.54 8.8
27000 0.74 4.66 9.1
28000 0.74 4.74 9.32
29000 0.76 4.68 9.2
30000 0.8 5.22 10.22
31000 0.82 5.32 10.46
32000 0.84 5.48 10.66
33000 0.86 5.66 11.12
34000 0.9 5.8 11.22
35000 0.92 6.04 11.84
36000 0.96 6.06 11.84
37000 0.98 6.26 12.24
38000 1 6.46 12.76
39000 1.02 6.92 13.16
40000 1.06 6.86 13.32
41000 1.08 6.98 13.64
42000 1.1 7.3 14.24
43000 1.16 7.58 14.78
44000 1.16 7.48 14.48
45000 1.22 7.74 15.18
46000 1.22 7.9 15.52
47000 1.24 7.82 15.42
48000 1.26 8.18 15.92
49000 1.3 8.52 16.68
50000 1.34 9.06 17.56
51000 1.36 8.68 17.68
52000 1.4 9.1 18.02
53000 1.4 9.24 17.78
54000 1.42 9.38 18.48
55000 1.46 9.62 18.56
56000 1.48 9.86 19.16
57000 1.48 9.84 18.82
58000 1.56 10.2 19.62
59000 1.54 10.3 19.94
60000 1.6 10.78 20.82
61000 1.62 10.58 20.48
62000 1.64 10.92 20.92
63000 1.64 11.18 21.6
64000 1.7 11.32 22.06
65000 1.72 11.4 22.48
66000 1.72 11.54 22.02
67000 1.78 11.68 22.56
68000 1.78 12.06 23.08
69000 1.82 11.96 22.96
70000 1.84 12.52 23.84
71000 1.86 12.54 24.22
72000 1.92 13.2 24.98
73000 1.94 13 24.5
74000 1.98 13.34 25.34
75000 2 13.38 25.52
76000 2.02 13.58 25.9
77000 2.06 13.5 25.92
78000 2.04 13.92 26.34
79000 2.12 14.1 26.8
80000 2.1 14.56 27.54
81000 2.14 14.4 28.14
82000 2.14 14.86 28.3
83000 2.14 15 28.3
84000 2.24 15.28 28.72
85000 2.26 15.52 29.24
86000 2.3 15.64 29.76
87000 2.26 15.9 30.12
88000 2.34 16.66 30.64
89000 2.32 15.96 30.24
90000 2.38 16.58 31.18
91000 2.4 16.66 31.28
92000 2.4 16.74 31.48
93000 2.48 17.26 32.78
94000 2.48 17.58 32.78
95000 2.5 17.66 32.96
96000 2.46 17.48 32.7
97000 2.56 17.74 33.16
98000 2.58 18.1 33.82
99000 2.58 18.72 33.82
